Angulo,Calado,Rotacao,Vw,Spin ratio,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Mz_1,Mz_2,Mz_3,Mz_4,Mz_rotor,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor
120,6.9,100,11.43,2.29,56.36,57.14,41.08,67.38,65.61,66.84,81.51,71.23,221.96,285.18,13.32,235.28,2109.28,2111.23,2255.18,2112.17,8587.86,24542.6,24565.3,26240.2,24576.2,133.2,81.61,82.90,76.33,93.97,5.95,6.04,5.56,6.85,28.64,29.31,50.05,28.00,2.09,2.14,3.65,2.04
120,6.9,180,17.15,2.75,141.51,143.69,92.65,163.93,178.55,172.48,202.33,176.52,541.78,729.88,26.31,568.09,6949.96,6074.15,6596.97,6157.31,25778.39,145559.6,127216.7,138166.6,128958.4,719.9,211.82,210.68,181.40,230.23,6.86,6.83,5.88,7.46,83.87,77.53,128.90,70.91,2.72,2.51,4.18,2.30
120,15.0,100,5.53,4.73,14.72,12.60,7.23,12.25,20.60,19.04,18.21,17.05,46.80,74.90,-5.77,41.03,2136.2,2124.82,2241.63,2172.48,8675.13,24855.8,24723.4,26082.5,25278.0,134.6,23.05,20.43,15.37,19.13,7.18,6.36,4.79,5.96,10.48,10.19,12.16,8.64,3.26,3.17,3.79,2.69
120,15.0,100,11.06,2.37,51.82,51.18,30.05,63.96,66.07,64.85,74.64,69.11,197.01,274.67,-7.24,189.77,2050.97,2060.83,2310.56,2036.46,8458.82,23864.1,23978.8,26884.6,23695.3,131.2,77.91,76.75,63.35,89.95,6.07,5.98,4.93,7.00,31.31,30.57,49.61,27.87,2.44,2.38,3.86,2.17
120,15.0,180,16.59,2.84,122.78,122.77,72.52,155.83,164.88,163.67,187.99,170.11,473.90,686.64,-16.02,457.88,6024.59,6003.57,6687.73,6030.46,24746.35,126178.7,125738.5,140067.5,126301.7,691.0,188.77,188.16,156.80,220.00,6.53,6.51,5.43,7.61,81.40,80.36,126.54,69.40,2.82,2.78,4.38,2.40
150,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-32.37,-32.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-67.26,-67.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-122.62,-122.62,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-12.37,-12.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-47.26,-47.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-102.93,-102.93,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-19.06,-19.06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-74.94,-74.94,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-170.04,-170.04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-13.63,-13.63,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-52.85,-52.85,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-131.12,-131.12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-4.37,-4.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-55.77,-55.77,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-124.67,-124.67,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-6.37,-6.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-50.17,-50.17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-113.99,-113.99,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
240,6.9,100,5.72,4.58,11.14,9.51,13.60,20.85,-16.79,-17.28,-17.09,-25.58,55.10,-76.74,1.36,56.46,2183.32,2123.46,2188.23,2045.41,8540.42,25404.1,24707.6,25461.2,23799.4,132.5,18.04,16.87,20.32,30.85,5.26,4.92,5.93,9.00,8.97,10.22,8.00,11.73,2.61,2.98,2.33,3.42
240,6.9,100,11.43,2.29,54.62,48.45,60.75,75.08,-63.61,-75.34,-61.97,-82.10,238.90,-283.02,8.16,247.06,2080.95,2145.95,2119.42,2099.03,8445.35,24213.0,24969.3,24660.6,24423.3,131.0,79.11,79.63,83.60,106.07,5.77,5.80,6.09,7.73,27.78,41.02,23.29,33.56,2.03,2.99,1.70,2.45
240,6.9,180,17.15,2.75,125.67,103.51,139.91,179.31,-154.93,-185.64,-153.70,-203.83,548.41,-698.10,19.43,567.84,6093.94,6219.94,6313.72,6165.68,24793.28,127631.2,130270.1,132234.2,129133.7,692.4,186.30,182.46,198.02,257.20,6.04,5.91,6.42,8.33,71.34,109.02,63.15,86.86,2.31,3.53,2.05,2.81
240,15.0,100,5.53,4.73,12.71,7.86,13.38,17.51,-17.04,-16.69,-15.52,-22.99,51.46,-72.24,-5.40,46.06,2152.52,2161.71,2158.31,2051.11,8523.65,25045.7,25152.6,25113.1,23865.7,132.2,19.53,15.15,19.35,26.66,6.08,4.72,6.03,8.30,8.40,10.52,6.75,11.15,2.62,3.28,2.10,3.47
240,15.0,100,11.06,2.37,51.77,36.93,57.79,67.34,-63.63,-70.73,-62.74,-79.56,213.84,-276.66,-11.07,202.77,2063.55,2128.31,2057.74,2065.92,8315.52,24010.5,24764.0,23942.9,24038.1,129.0,76.65,67.34,81.42,98.10,5.97,5.24,6.34,7.64,29.22,42.79,25.44,35.23,2.27,3.33,1.98,2.74
240,15.0,180,16.59,2.84,122.10,77.80,131.22,160.38,-153.71,-170.40,-148.46,-194.99,491.50,-667.56,-24.11,467.39,6030.00,6271.54,6053.58,6065.59,24420.71,126292.0,131350.8,126785.9,127037.4,682.0,182.59,152.58,187.87,236.39,6.32,5.28,6.50,8.18,72.07,108.67,62.97,88.67,2.49,3.76,2.18,3.07
270,6.9,100,5.72,4.58,19.38,21.91,23.73,20.23,-10.54,-12.19,-10.18,-14.89,85.25,-47.80,6.23,91.48,2270.05,2145.58,2212.58,2221.35,8849.56,26413.2,24965.0,25744.5,25846.6,137.3,19.38,21.91,23.73,20.23,5.65,6.39,6.92,5.90,10.54,12.19,10.18,14.89,3.07,3.55,2.97,4.34
270,6.9,100,11.43,2.29,72.56,85.03,91.78,64.33,-33.63,-39.79,-29.66,-41.06,313.70,-144.13,16.78,330.48,2182.92,2119.56,2127.86,2391.31,8821.65,25399.4,24662.2,24758.8,27824.2,136.9,72.56,85.03,91.78,64.33,5.29,6.20,6.69,4.69,33.63,39.79,29.66,41.06,2.45,2.90,2.16,2.99
270,6.9,180,17.15,2.75,165.03,220.77,205.58,145.25,-85.24,-112.29,-79.37,-102.15,736.63,-379.04,50.43,787.06,6685.91,6120.65,6430.07,6958.69,26195.32,140029.4,128190.6,134671.1,145742.5,731.5,165.03,220.77,205.58,145.25,5.35,7.15,6.66,4.71,85.24,112.29,79.37,102.15,2.76,3.64,2.57,3.31
270,15.0,100,5.53,4.73,19.15,20.51,20.93,17.93,-10.38,-12.36,-8.88,-12.04,78.52,-43.66,1.37,79.89,2191.08,2148.21,2158.58,2240.56,8738.43,25494.4,24995.6,25116.2,26070.1,135.6,19.15,20.51,20.93,17.93,5.96,6.39,6.52,5.58,10.38,12.36,8.88,12.04,3.23,3.85,2.77,3.75
270,15.0,100,11.06,2.37,79.37,80.76,81.06,61.85,-31.72,-39.71,-30.29,-38.21,303.05,-139.92,3.73,306.78,2073.75,2099.13,2065.99,2403.61,8642.48,24129.2,24424.5,24038.9,27967.3,134.1,79.37,80.76,81.06,61.85,6.18,6.29,6.31,4.82,31.72,39.71,30.29,38.21,2.47,3.09,2.36,2.97
270,15.0,180,16.59,2.84,186.62,197.50,198.51,148.56,-81.32,-104.43,-75.75,-100.09,731.19,-361.59,9.45,740.64,6072.4,6071.33,6094.98,6869.2,25107.91,127180.0,127157.6,127653.0,143868.2,701.1,186.62,197.50,198.51,148.56,6.46,6.83,6.87,5.14,81.32,104.43,75.75,100.09,2.81,3.61,2.62,3.46
300,6.9,100,5.72,4.58,27.20,20.90,25.87,18.90,0.33,-1.52,1.23,-8.47,92.87,-8.44,11.50,104.37,2094.00,2219.49,2159.32,2090.10,8562.91,24364.8,25824.9,25124.8,24319.4,132.8,23.72,17.34,23.02,12.13,6.92,5.06,6.71,3.54,13.32,11.76,11.87,16.79,3.88,3.43,3.46,4.90
300,6.9,100,11.43,2.29,97.06,83.90,98.55,69.01,8.30,-0.43,12.72,-21.94,348.52,-1.35,37.11,385.63,2087.66,2162.19,2074.56,2263.07,8587.48,24291.0,25158.2,24138.6,26332.0,133.2,88.20,72.44,91.71,48.79,6.43,5.28,6.69,3.56,41.34,42.32,38.26,53.51,3.01,3.09,2.79,3.90
300,6.9,180,17.15,2.75,227.34,219.04,252.37,179.12,13.59,-3.53,30.80,-60.07,877.86,-19.21,87.81,965.67,5974.68,6168.7,6020.36,6082.78,24246.52,125133.4,129197.0,126090.1,127397.4,677.1,203.68,187.93,233.96,125.09,6.60,6.09,7.58,4.05,101.90,112.58,99.51,141.58,3.30,3.65,3.22,4.59
300,15.0,100,5.53,4.73,22.93,20.80,20.84,15.84,1.70,-0.63,0.94,-6.81,80.41,-4.81,5.46,85.87,2125.15,2173.54,2255.4,2183.56,8737.65,24727.2,25290.3,26242.8,25406.9,135.6,20.71,17.70,18.52,10.31,6.45,5.51,5.77,3.21,10.00,10.94,9.61,13.82,3.11,3.41,2.99,4.30
300,15.0,100,11.06,2.37,85.88,78.15,90.97,80.04,10.44,2.33,14.45,-20.67,335.05,6.55,19.01,354.06,2054.51,2115.35,2067.2,2012.16,8249.22,23905.3,24613.2,24053.0,23412.5,128.0,79.60,68.85,86.01,58.98,6.20,5.36,6.70,4.59,33.90,37.06,32.97,57.92,2.64,2.89,2.57,4.51
300,15.0,180,16.59,2.84,214.93,186.87,226.69,171.01,23.67,1.70,32.22,-52.94,799.50,4.65,37.62,837.12,5904.33,6210.22,5967.64,5886.19,23968.38,123660.0,130066.5,124986.0,123280.1,669.3,197.97,162.69,212.42,121.63,6.85,5.63,7.35,4.21,86.97,91.96,85.44,131.35,3.01,3.18,2.96,4.55
330,6.9,100,5.72,4.58,21.32,18.43,24.90,25.43,13.46,7.49,15.41,6.92,90.07,43.29,10.87,100.94,2142.29,2154.63,2130.02,2126.81,8553.75,24926.7,25070.3,24783.9,24746.6,132.7,22.32,15.70,25.80,18.71,6.51,4.58,7.52,5.46,11.73,12.21,13.85,18.56,3.42,3.56,4.04,5.41
330,6.9,100,11.43,2.29,76.51,74.34,84.79,87.78,55.26,38.82,61.06,35.57,323.42,190.71,43.36,366.78,2096.08,2174.93,2134.19,2162.09,8567.29,24389.0,25306.5,24832.4,25157.1,132.9,86.11,70.79,95.27,74.69,6.28,5.16,6.95,5.45,38.62,44.97,42.90,58.24,2.82,3.28,3.13,4.25
330,6.9,180,17.15,2.75,195.20,188.89,215.02,219.29,139.12,91.08,150.25,78.50,818.40,458.95,103.97,922.37,6078.6,6173.9,6130.13,6349.55,24732.18,127309.9,129305.9,128389.1,132984.7,690.7,218.08,173.33,237.63,177.63,7.07,5.62,7.70,5.76,99.49,118.05,111.09,150.66,3.22,3.82,3.60,4.88
330,15.0,100,5.53,4.73,19.48,16.77,22.24,20.21,12.84,8.04,14.53,6.19,78.70,41.60,7.59,86.29,2139.37,2174.49,2103.76,2192.51,8610.13,24892.7,25301.3,24478.4,25511.0,133.6,20.86,15.35,23.70,15.47,6.50,4.78,7.38,4.82,10.45,10.50,12.00,14.41,3.25,3.27,3.74,4.49
330,15.0,100,11.06,2.37,70.74,58.42,77.78,85.65,55.99,34.75,58.84,35.05,292.60,184.62,29.32,321.92,2090.95,2245.95,2104.61,2089.16,8530.67,24329.3,26132.8,24488.2,24308.5,132.3,83.86,59.30,89.85,73.18,6.53,4.62,7.00,5.70,33.27,33.22,37.94,56.66,2.59,2.59,2.95,4.41
330,15.0,180,16.59,2.84,173.89,161.59,196.73,203.92,130.81,83.25,141.12,75.81,736.13,430.99,63.90,800.03,6049.39,6280.56,6042.27,6190.97,24563.19,126698.1,131539.7,126549.0,129663.4,685.9,200.23,152.90,220.58,167.61,6.49,4.95,7.15,5.43,85.19,98.31,99.81,138.70,2.95,3.40,3.45,4.80
