Angulo,Calado,Rotacao,Vw,Spin ratio,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor
0,6.9,100,5.72,4.58,,,,,,,,,47.76,-72.45,12.51,60.27,2160.32,2156.56,2273.32,2105.16,8695.36,22622.8,22583.4,23806.2,22045.2,121.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,6.9,100,11.43,2.29,,,,,,,,,157.03,-282.88,46.36,203.39,2077.42,2267.73,2422.91,2185.39,8953.45,21754.7,23747.6,25372.7,22885.4,125.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,6.9,180,17.15,2.75,,,,,,,,,423.84,-708.15,102.97,526.81,6128.74,6547.07,6884.4,6594.43,26154.64,115524.0,123409.4,129767.9,124302.1,657.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,15.0,100,5.53,4.73,,,,,,,,,41.04,-63.40,7.94,48.98,2191.51,2219.96,2286.84,2150.09,8848.4,22949.4,23247.4,23947.7,22515.7,123.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,15.0,100,11.06,2.37,,,,,,,,,155.37,-258.73,31.91,187.28,2072.3,2286.83,2312.81,2151.81,8823.75,21701.1,23947.6,24219.7,22533.7,123.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,15.0,180,16.59,2.84,,,,,,,,,387.74,-636.53,74.53,462.27,6097.16,6594.97,6756.2,6478.5,25926.83,114928.8,124312.3,127351.4,122116.8,651.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,6.9,100,5.72,4.58,17.41,21.13,22.75,26.52,-7.87,-14.88,-3.18,-13.40,87.81,-39.33,12.60,100.41,2179.45,2111.57,2206.19,2088.49,8585.7,22823.1,22112.3,23103.2,21870.6,119.9,15.52,23.45,14.13,24.87,4.53,6.84,4.12,7.25,11.14,10.86,18.11,16.26,3.25,3.17,5.28,4.74
30,6.9,100,11.43,2.29,48.22,76.56,87.74,90.17,-24.73,-58.36,-31.34,-53.68,302.70,-168.12,47.59,350.29,2397.01,2068.12,2232.69,2116.74,8814.56,25101.4,21657.3,23380.7,22166.4,123.1,45.53,88.82,71.01,91.58,3.32,6.48,5.18,6.68,29.39,37.12,60.31,51.25,2.14,2.71,4.40,3.74
30,6.9,180,17.15,2.75,110.83,188.85,235.55,219.63,-63.75,-141.85,-63.75,-130.88,754.87,-400.22,105.75,860.62,6695.72,6020.52,6491.81,6299.48,25507.53,126211.3,113484.1,122367.7,118742.4,641.1,110.63,217.27,172.98,223.16,3.58,7.04,5.60,7.23,64.11,92.63,172.12,124.77,2.08,3.00,5.58,4.04
30,15.0,100,5.53,4.73,10.40,18.35,17.14,22.06,-5.72,-13.88,-5.17,-12.74,67.96,-37.51,8.07,76.03,2279.76,2129.28,2236.51,2098.9,8744.4,23873.6,22297.8,23420.7,21979.1,122.1,10.16,21.19,13.05,22.06,3.16,6.60,4.06,6.87,6.15,8.95,12.26,12.74,1.92,2.79,3.82,3.97
30,15.0,100,11.06,2.37,46.82,69.45,72.60,81.52,-28.06,-55.60,-29.83,-51.82,270.39,-165.31,32.85,303.24,2264.44,2065.32,2198.65,2111.84,8640.25,23713.2,21628.0,23024.2,22115.1,120.6,47.71,82.88,62.13,85.63,3.71,6.45,4.84,6.67,26.52,32.34,47.96,44.69,2.06,2.52,3.73,3.48
30,15.0,180,16.59,2.84,111.37,171.15,197.35,206.41,-58.76,-133.06,-64.39,-126.17,686.28,-382.38,74.86,761.14,6650.22,6003.09,6453.33,6173.69,25280.33,125353.7,113155.6,121642.4,116371.3,635.4,106.57,200.81,154.44,212.47,3.69,6.95,5.34,7.35,67.07,81.69,138.72,115.67,2.32,2.83,4.80,4.00
60,6.9,100,5.72,4.58,25.52,24.23,22.68,29.77,0.26,-1.82,6.34,-0.69,102.20,4.09,9.99,112.19,2124.44,2115.19,2210.67,2073.35,8523.65,22247.1,22150.2,23150.1,21712.1,119.0,21.97,21.89,16.47,26.13,6.41,6.38,4.80,7.62,12.99,10.54,16.83,14.29,3.79,3.07,4.91,4.17
60,6.9,100,11.43,2.29,88.01,96.69,83.30,103.62,-6.07,-11.23,15.87,-11.47,371.61,-12.90,32.66,404.27,2073.89,2041.64,2213.82,2108.86,8438.21,21717.7,21380.0,23183.1,22083.9,117.8,79.25,89.35,64.20,95.47,5.78,6.51,4.68,6.96,38.75,38.62,55.39,41.87,2.82,2.82,4.04,3.05
60,6.9,180,17.15,2.75,216.32,231.48,220.42,264.54,-9.27,-25.38,44.27,-22.45,932.76,-12.83,83.47,1016.23,6021.58,5963.14,6693.77,6071.31,24749.8,113504.1,112402.5,126174.6,114441.5,622.0,191.97,213.16,168.75,240.33,6.22,6.91,5.47,7.79,100.13,93.75,148.55,112.83,3.24,3.04,4.81,3.66
60,15.0,100,5.53,4.73,21.92,21.66,17.51,25.95,0.25,-1.70,3.91,-0.60,87.05,1.86,6.47,93.52,2122.75,2140.17,2253.53,2165.13,8681.58,22229.4,22411.8,23598.9,22673.2,121.2,18.86,19.61,13.21,22.77,5.87,6.11,4.11,7.09,11.17,9.36,12.14,12.46,3.48,2.92,3.78,3.88
60,15.0,100,11.06,2.37,84.55,84.40,82.78,97.00,-7.18,-11.37,13.10,-11.22,348.73,-16.67,11.91,360.64,2061.58,2062.39,2227.83,2060.88,8412.68,21588.8,21597.3,23329.8,21581.5,117.5,76.81,78.78,65.14,89.62,5.98,6.13,5.07,6.98,36.06,32.36,52.73,38.78,2.81,2.52,4.11,3.02
60,15.0,180,16.59,2.84,202.12,209.79,212.29,248.24,-13.48,-25.84,37.59,-25.35,872.44,-27.08,28.64,901.08,5995.63,5963.92,6434.58,6003.83,24397.96,113015.0,112417.2,121289.0,113169.5,613.2,181.79,194.60,165.05,227.65,6.29,6.73,5.71,7.88,89.39,82.52,138.70,102.17,3.09,2.86,4.80,3.54
90,6.9,100,5.72,4.58,22.48,23.56,15.52,27.06,11.64,11.00,13.52,12.09,88.62,48.25,6.30,94.92,2145.15,2122.21,2187.33,2108.35,8563.04,22464.0,22223.7,22905.7,22078.6,119.6,22.48,23.56,15.52,27.06,6.55,6.87,4.53,7.89,11.64,11.00,13.52,12.09,3.39,3.21,3.94,3.52
90,6.9,100,11.43,2.29,81.68,77.38,78.55,91.56,37.54,32.70,54.14,33.13,329.17,157.51,22.70,351.87,2086.38,2179.98,2165.83,2134.92,8567.11,21848.5,22828.7,22680.5,22356.8,119.6,81.68,77.38,78.55,91.56,5.95,5.64,5.73,6.67,37.54,32.70,54.14,33.13,2.74,2.38,3.95,2.42
90,6.9,180,17.15,2.75,199.32,186.85,164.56,219.64,92.27,84.10,127.80,84.44,770.37,388.61,50.62,820.99,6138.32,6329.47,6314.04,6243.74,25025.57,115704.6,119307.7,119016.9,117691.7,629.0,199.32,186.85,164.56,219.64,6.46,6.05,5.33,7.12,92.27,84.10,127.80,84.44,2.99,2.72,4.14,2.74
90,15.0,100,5.53,4.73,21.59,19.20,14.13,23.07,10.57,8.72,11.01,10.17,77.99,40.47,1.69,79.68,2150.27,2177.46,2214.91,2142.88,8685.52,22517.6,22802.3,23194.5,22440.2,121.3,21.59,19.20,14.13,23.07,6.72,5.98,4.40,7.18,10.57,8.72,11.01,10.17,3.29,2.72,3.43,3.17
90,15.0,100,11.06,2.37,82.27,75.33,68.36,91.00,33.46,32.68,50.41,32.79,316.97,149.34,10.32,327.29,2113.02,2048.87,2170.09,2075.89,8407.87,22127.5,21455.7,22725.1,21738.7,117.4,82.27,75.33,68.36,91.00,6.41,5.87,5.32,7.09,33.46,32.68,50.41,32.79,2.61,2.54,3.92,2.55
