Angulo,Calado,Rotacao,Vw,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor,Media LIFT,Media DRAG,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,c_x,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons
0,16,180,12,22837,24531,40368,35990,-86568,-91798,-60179,-91913,22.8,24.5,40.4,36.0,-86.6,-91.8,-60.2,-91.9,123.7,-330.5,55.4,179.1,86.6,91.8,60.2,91.9,22.8,24.5,40.4,36.0,5.7,6.1,4.0,6.1,1.5,1.6,2.7,2.4,82.6,30.9,-6352,-6433,-6959,-6273,26017,2.046,133035.976904016,134732.436936954,145748.955175542,131381.404773125,726.531698386184
30,8.5,100,6,22988,26355,27756,27345,-3830,-18005,-4338,-16749,23.0,26.4,27.8,27.3,-3.8,-18.0,-4.3,-16.7,104.4,-42.9,16.7,121.2,14.8,28.8,17.6,28.2,18.0,13.8,21.9,15.3,3.9,7.6,4.7,7.5,4.8,3.7,5.8,4.0,22.3,17.2,-2069.2,-2116,-2015.8,-2176.1,8377.1,6.908,24076.2352548444,24620.7779814667,23454.8980411345,25320.0732350991,129.962646016726
30,8.5,100,10,63022,61009,71585,74806,-12327,-48000,-28504,-56515,63.0,61.0,71.6,74.8,-12.3,-48.0,-28.5,-56.5,270.4,-145.3,50.6,321.0,42.2,72.1,60.5,86.3,48.4,28.8,47.7,36.5,4.0,6.9,5.8,8.2,4.6,2.7,4.5,3.5,65.3,40.4,-1957.6,-2036.5,-2101.7,-2284.6,8380.4,6.439,22777.7102913607,23695.7534779097,24454.3899261099,26582.5280607083,130.013842341451
30,8.5,100,12,72960,79610,95510,92770,-19500,-66650,-45700,-75180,73.0,79.6,95.5,92.8,-19.5,-66.7,-45.7,-75.2,340.9,-207.0,73.1,413.9,53.4,97.5,87.3,111.5,53.4,35.6,59.9,42.8,3.5,6.5,5.8,7.4,3.5,2.4,4.0,2.8,87.4,47.9,-2150,-2094,-2142.8,-2373.7,8760.5,5.636,25016.3859452521,24364.7963578408,24932.6101411563,27619.2536363929,135.910728107523
30,8.5,180,6,22786,23425,20229,20892,-7515,-15718,-6331,-10375,22.8,23.4,20.2,20.9,-7.5,-15.7,-6.3,-10.4,87.3,-39.9,22.7,110.1,17.9,25.3,15.6,19.4,16.0,12.4,14.4,12.9,4.7,6.7,4.1,5.1,4.2,3.3,3.8,3.4,19.6,13.9,-7088.9,-6860.6,-7126.1,-6957,28032.6,5.776,148469.574413551,143688.070394788,149248.689391642,145707.067273495,782.8178686313
30,8.5,180,10,40560,72840,86610,79520,-570,-49130,-18510,-51280,40.6,72.8,86.6,79.5,-0.6,-49.1,-18.5,-51.3,279.5,-119.5,55.8,335.4,20.8,79.0,59.3,84.2,34.8,38.5,65.8,43.2,2.0,7.5,5.7,8.0,3.3,3.7,6.3,4.1,60.8,45.6,-6508.2,-6206.9,-6025.1,-6646,25386.2,6.655,136307.422053954,129997.009610443,126189.399314292,139193.498505052,708.916439311655
30,8.5,180,12,64758,102403,130397,127928,-12686,-75521,-22178,-85568,64.8,102.4,130.4,127.9,-12.7,-75.5,-22.2,-85.6,425.5,-196.0,84.0,509.5,43.4,116.6,84.4,138.1,49.7,50.9,101.8,68.0,2.9,7.7,5.6,9.1,3.3,3.4,6.7,4.5,95.6,67.6,-6407.3,-6224.7,-6008.4,-5356.3,23996.7,7.035,134194.177395639,130369.811938669,125839.635332193,112182.084869487,670.114279381317
30,16,100,6,24443,24341,25477,27816,-5535,-18184,-6644,-19248,24.4,24.3,25.5,27.8,-5.5,-18.2,-6.6,-19.2,102.1,-49.6,15.5,117.6,17.0,27.9,18.5,30.6,18.4,12.0,18.7,14.5,4.5,7.4,4.9,8.1,4.9,3.2,5.0,3.8,23.5,15.9,-2099.5,-2091.8,-2063.8,-2099.69,8354.79,6.751,24428.7917637473,24339.1981954783,24013.4034017727,24431.0025141332,129.616527833508
30,16,100,10,59205,53803,72531,71377,-12474,-46376,-29751,-53795,59.2,53.8,72.5,71.4,-12.5,-46.4,-29.8,-53.8,256.9,-142.4,47.7,304.6,40.4,67.1,62.0,82.3,45.0,23.4,47.9,34.9,3.8,6.4,5.9,7.8,4.3,2.2,4.6,3.3,62.9,37.8,-2244,-2101.2,-2135.5,-1910.5,8391.2,6.117,26110.1256098352,24448.5721619366,24847.6707842259,22229.6769062344,130.181393949643
30,16,100,12,73540,71750,89430,88570,-26430,-64940,-46040,-76140,73.5,71.8,89.4,88.6,-26.4,-64.9,-46.0,-76.1,323.3,-213.6,62.5,385.8,59.7,92.1,84.6,110.2,50.5,29.7,54.4,38.6,3.9,6.1,5.6,7.3,3.3,2.0,3.6,2.6,86.6,43.3,-2200.7,-2077,-2071.6,-2284.2,8633.5,5.345,25606.3072324261,24166.9923759481,24104.1605228764,26577.8738493696,133.940445307494
